,Country,Population,Year
0,Algeria,42705368.0,2019
1,Angola,32353588.0,2019
2,Benin,12290444.0,2019
3,Botswana,2499702.0,2019
4,Burkina Faso,20951639.0,2019
5,Burundi,11874838.0,2019
6,Cameroon,25782341.0,2019
7,Cape Verde,577030.0,2019
8,Central African Republic,5209324.0,2019
9,Chad,16126866.0,2019
10,Comoros,790986.0,2019
11,Congo,5570733.0,2019
12,"Congo, The Democratic Republic Of The",89906890.0,2019
13,Cote D’Ivoire,26147551.0,2019
14,Djibouti,1073994.0,2019
15,Egypt,105618671.0,2019
16,Equatorial Guinea,1553031.0,2019
17,Eritrea,3498818.0,2019
18,Ethiopia,114120594.0,2019
19,Gabon,2242785.0,2019
20,Gambia,2508883.0,2019
21,Ghana,31522290.0,2019
22,Guinea,12877539.0,2019
23,Guinea-Bissau,1970457.0,2019
24,Kenya,50951450.0,2019
25,Lesotho,2225702.0,2019
26,Liberia,4985289.0,2019
27,Libyan Arab Jamahiriya,6569088.0,2019
28,Madagascar,27533134.0,2019
29,Mali,20567424.0,2019
30,Malawi,18867337.0,2019
31,Mauritania,4383849.0,2019
32,Mauritius,1265985.0,2019
33,Morocco,36304408.0,2019
34,Mozambique,30285595.0,2019
35,Namibia,2446644.0,2019
36,Niger,23443393.0,2019
37,Nigeria,203304492.0,2019
38,Rwanda,12835028.0,2019
39,Sao Tome And Principe,214599.0,2019
40,Senegal,16000781.0,2019
41,Seychelles,97625.0,2019
42,Sierra Leone,8046828.0,2019
43,Somalia,15981300.0,2019
44,South Africa,58087055.0,2019
45,South Sudan,10447666.0,2019
46,Sudan,43232093.0,2019
47,Swaziland,1169613.0,2019
48,"Tanzania, United Republic Of",59872579.0,2019
49,Togo,8243094.0,2019
50,Tunisia,12049314.0,2019
51,Uganda,42949080.0,2019
52,Zambia,18380477.0,2019
53,Zimbabwe,15354608.0,2019
0,Nigeria,206139589.0,2020
1,Democratic Republic of the Congo,102561403.0,2020
2,Egypt,101334404.0,2020
3,Ethiopia,101862592.0,2020
4,South Africa,59956820.0,2020
5,Tanzania,59734218.0,2020
6,Kenya,53771296.0,2020
7,Uganda,45741007.0,2020
8,Algeria,43000420.0,2020
9,Sudan,42268269.0,2020
10,Morocco,37034729.0,2020
11,Mozambique,28013000.0,2020
12,Ghana,31072940.0,2020
13,Angola,24383301.0,2020
14,Somalia,22316895.0,2020
15,Ivory Coast,22671331.0,2020
16,Madagascar,22434363.0,2020
17,Cameroon,21917602.0,2020
18,Burkina Faso,18450494.0,2020
19,Niger,17138707.0,2020
20,Malawi,16832900.0,2020
21,Zambia,15473905.0,2020
22,Mali,14528662.0,2020
23,Senegal,14354690.0,2020
24,Zimbabwe,13061239.0,2020
25,Chad,11039873.0,2020
26,Tunisia,10982754.0,2020
27,Guinea,10628972.0,2020
28,Rwanda,10515973.0,2020
29,Benin,10008749.0,2020
30,Burundi,9823828.0,2020
31,South Sudan,8260490.0,2020
32,Eritrea,6536000.0,2020
33,Sierra Leone,6348350.0,2020
34,Togo,6191155.0,2020
35,Libya,5298152.0,2020
36,Central African Republic,3859139.0,2020
37,Mauritania,3718678.0,2020
38,Republic of the Congo,3697490.0,2020
39,Liberia,3476608.0,2020
40,Namibia,2280700.0,2020
41,Botswana,2024904.0,2020
42,Lesotho,1894194.0,2020
43,Gambia,1882450.0,2020
44,Gabon,1802278.0,2020
45,Guinea-Bissau,1530673.0,2020
46,Mauritius,1261208.0,2020
47,Equatorial Guinea,1222442.0,2020
48,Eswatini,1119375.0,2020
49,Djibouti,864618.0,2020
50,Réunion (France),840974.0,2020
51,Comoros,806200.0,2020
52,Western Sahara[5],510713.0,2020
53,Cape Verde,491875.0,2020
54,Mayotte (France),212600.0,2020
55,São Tomé and Príncipe,201784.0,2020
56,Seychelles,90945.0,2020
57,"Saint Helena, Ascension and Tristan da Cunha (UK)",5633.0,2020
0,Nigeria,206139589.0,2021
1,Ethiopia,120283026.0,2021
2,Democratic Republic of the Congo,102561403.0,2021
3,Egypt,101334404.0,2021
4,South Africa,60142978.0,2021
5,Tanzania,59734218.0,2021
6,Kenya,47564290.0,2021
7,Uganda,45741007.0,2021
8,Algeria,44700000.0,2021
9,Sudan,42268269.0,2021
10,Morocco,37034729.0,2021
11,Angola,32097671.0,2021
12,Ghana,31072940.0,2021
13,Cameroon,28524175.0,2021
14,Madagascar,28427328.0,2021
15,Mozambique,28013000.0,2021
16,Ivory Coast,27087732.0,2021
17,Niger,24112753.0,2021
18,Mali,20856000.0,2021
19,Burkina Faso,18450494.0,2021
20,Malawi,16832900.0,2021
21,Chad,16818391.0,2021
22,Somalia,15893222.0,2021
23,Zimbabwe,15790716.0,2021
24,Zambia,15473905.0,2021
25,Senegal,14354690.0,2021
26,South Sudan,13249924.0,2021
27,Rwanda,12955768.0,2021
28,Guinea,12907395.0,2021
29,Benin,12506347.0,2021
30,Tunisia,11746695.0,2021
31,Burundi,9823828.0,2021
32,Sierra Leone,8297882.0,2021
33,Togo,7886000.0,2021
34,Libya,6959000.0,2021
35,Republic of the Congo,5657000.0,2021
36,Liberia,4661010.0,2021
37,Central African Republic,3859139.0,2021
38,Mauritania,3718678.0,2021
39,Eritrea,3601000.0,2021
40,Namibia,2550226.0,2021
41,Gambia,2487000.0,2021
42,Botswana,2410338.0,2021
43,Gabon,2233272.0,2021
44,Lesotho,2007201.0,2021
45,Guinea-Bissau,1530673.0,2021
46,Equatorial Guinea,1505588.0,2021
47,Mauritius,1261208.0,2021
48,Eswatini,1119375.0,2021
49,Djibouti,976107.0,2021
50,Réunion (France),840974.0,2021
51,Comoros,806200.0,2021
52,Cape Verde,563198.0,2021
53,Western Sahara[7],510713.0,2021
54,Mayotte (France),212600.0,2021
55,São Tomé and Príncipe,201784.0,2021
56,Seychelles,99202.0,2021
57,"Saint Helena, Ascension and Tristan da Cunha (UK)",5633.0,2021
0,Nigeria,218625385.0,2022
1,Ethiopia,121922416.0,2022
2,Egypt,106981048.0,2022
3,Democratic Republic of the Congo,96511548.0,2022
4,Tanzania,63931876.0,2022
5,South Africa,61081076.0,2022
6,Kenya,56645588.0,2022
7,Uganda,49333704.0,2022
8,Sudan,46342103.0,2022
9,Algeria,45753509.0,2022
10,Morocco,37945593.0,2022
11,Angola,35405823.0,2022
12,Mozambique,33413232.0,2022
13,Ghana,32642373.0,2022
14,Madagascar,29434823.0,2022
15,Cameroon,28161144.0,2022
16,Ivory Coast,27974485.0,2022
17,Niger,26412604.0,2022
18,Burkina Faso,22313534.0,2022
19,Mali,21691072.0,2022
20,Malawi,20341255.0,2022
21,Zambia,19652620.0,2022
22,Senegal,17826571.0,2022
23,Chad,17589364.0,2022
24,Somalia,16985528.0,2022
25,Zimbabwe,15378243.0,2022
26,Guinea,14008576.0,2022
27,Rwanda,13736863.0,2022
28,Benin,12902012.0,2022
29,Burundi,12767455.0,2022
30,Tunisia,12110192.0,2022
31,South Sudan,11504110.0,2022
32,Togo,8751274.0,2022
33,Sierra Leone,8368970.0,2022
34,Libya,7093307.0,2022
35,Republic of the Congo,5849868.0,2022
36,Liberia,5347243.0,2022
37,Central African Republic,5031186.0,2022
38,Mauritania,4949486.0,2022
39,Eritrea,3663117.0,2022
40,Namibia,2651478.0,2022
41,Gambia,2584004.0,2022
42,Botswana,2466321.0,2022
43,Gabon,2353692.0,2022
44,Lesotho,2182040.0,2022
45,Guinea-Bissau,2081340.0,2022
46,Equatorial Guinea,1518007.0,2022
47,Mauritius,1276638.0,2022
48,Eswatini,1188479.0,2022
49,Djibouti,1022219.0,2022
50,Comoros,914472.0,2022
51,Sahrawi Arab Democratic Republic[6],633212.0,2022
52,Cape Verde,570239.0,2022
53,São Tomé and Príncipe,228950.0,2022
54,Seychelles,99768.0,2022
0,Nigeria,216783400.0,2023
1,Ethiopia,107334000.0,2023
2,Egypt,102060688.0,2023
3,DR Congo,95370000.0,2023
4,Tanzania,61741120.0,2023
5,South Africa,59604992.0,2023
6,Kenya,51526000.0,2023
7,Uganda,41583600.0,2023
8,Sudan,41984500.0,2023
9,Algeria,44700000.0,2023
10,Morocco,35372615.0,2023
11,Angola,34094077.0,2023
12,Ghana,30832019.0,2023
13,Mozambique,26899105.0,2023
14,Madagascar,27190927.0,2023
15,Ivory Coast,29389150.0,2023
16,Cameroon,24348251.0,2023
17,Niger,23196000.0,2023
18,Mali,14528662.0,2023
19,Burkina Faso,20505155.0,2023
20,Malawi,19809511.0,2023
21,Zambia,19610769.0,2023
22,Chad,15775400.0,2023
23,Somalia,12316895.0,2023
24,Senegal,18275743.0,2023
25,Zimbabwe,15178979.0,2023
26,Guinea,13261638.0,2023
27,Rwanda,13246394.0,2023
28,Benin,12606998.0,2023
29,Burundi,13097400.0,2023
30,Tunisia,11803588.0,2023
31,South Sudan,13249924.0,2023
32,Togo,8095498.0,2023
33,Sierra Leone,7541641.0,2023
34,Libya,6931061.0,2023
35,Republic of the Congo,3697490.0,2023
36,Central African Republic,6091097.0,2023
37,Liberia,4844381.0,2023
38,Mauritania,4352037.0,2023
39,Eritrea,3815900.0,2023
40,Gambia,2417471.0,2023
41,Botswana,2346179.0,2023
42,Namibia,2641857.0,2023
43,Gabon,2349099.0,2023
44,Lesotho,2103600.0,2023
45,Guinea-Bissau,1781308.0,2023
46,Equatorial Guinea,1558160.0,2023
47,Mauritius,1261196.0,2023
48,Eswatini,1223362.0,2023
49,Djibouti,1001454.0,2023
50,Comoros,758316.0,2023
51,Cape Verde,483628.0,2023
52,Western Sahara,579000.0,2023
53,São Tomé and Príncipe,210200.0,2023
54,Seychelles,100447.0,2023
55,Total,1332291870.0,2023
